연번,평가구분,장기요양기관기호,장기요양기관명,급여종류,설립주체,관할시도명,관할시군구명,평가일자,평가등급,평가총점,기관운영,환경및안전,수급자권리보장,급여제공과정,급여제공결과,기관운영(2025),수급자존중(2025),서비스제공(2025),서비스결과(2025)
7908,2023년 정기평가,2-27260-00380,이화데이케어,07.주야간보호,개인,대구광역시,수성구,2023-10-23,E,56.57,50,65.91,45.83,39.06,97.13,,,,
7909,2023년 정기평가,3-27260-00072,미스바요양센터,07.주야간보호,개인,대구광역시,수성구,2023-06-28,E,78.3,77.63,93.18,75,61.72,95.33,,,,
7910,2023년 정기평가,3-27260-00312,민들레주간보호센터,07.주야간보호,개인,대구광역시,수성구,2023-10-23,E,60.55,43.42,73.86,62.5,48.44,87,,,,
7911,2023년 정기평가,3-27260-00334,사계절데이케어센터,07.주야간보호,개인,대구광역시,수성구,2023-10-23,B,85.05,81.58,89.77,100,79.69,82,,,,
7912,2023년 정기평가,3-27260-00058,엘레오스노인요양센터,07.주야간보호,개인,대구광역시,수성구,2023-03-08,C,87.05,93.42,90.91,75,82.81,92,,,,
7913,2023년 정기평가,3-27260-00324,꿈 이룸 노인주간보호센터,07.주야간보호,개인,대구광역시,수성구,2023-11-06,E,73.3,50,81.82,75,73.44,88.67,,,,
7914,2023년 정기평가,3-27260-00058,엘레오스노인요양센터,08.단기보호,개인,대구광역시,수성구,2023-03-08,B,92.8,100,90.91,100,85,95.63,,,,
7915,2023년 정기평가,3-27260-00328,청솔메디,09.복지용구,개인,대구광역시,수성구,2023-10-23,D,63.75,87.5,68,41.3,40,94.44,,,,
7916,2023년 정기평가,3-27260-00250,(주)또하나의가족 경북센터,09.복지용구,법인,대구광역시,수성구,2023-06-28,C,77.25,80.36,92,60.87,60,94.44,,,,
7917,2023년 정기평가,3-27260-00179,(주)진명해피케어 수성지점,09.복지용구,법인,대구광역시,수성구,2023-05-24,A,90,100,96,82.61,80,94.44,,,,
7918,2023년 정기평가,3-27260-00210,길메디칼,09.복지용구,개인,대구광역시,수성구,2023-03-23,B,85.25,98.21,96,71.74,75,88.89,,,,
7919,2023년 정기평가,3-27260-00252,(주)동산메디케어,09.복지용구,법인,대구광역시,수성구,2023-03-23,A,93.1,89.29,100,86.96,90,97.78,,,,
7920,2023년 정기평가,3-27260-00314,둥지노인복지센터,09.복지용구,개인,대구광역시,수성구,2023-09-25,C,80.25,69.64,98,82.61,55,88.89,,,,
7921,2023년 정기평가,2-27260-00390,보람복지용구,09.복지용구,개인,대구광역시,수성구,2023-10-23,B,81.42,95.86,100,60.87,60,94.44,,,,
7922,2023년 정기평가,3-47110-00460,행복한우리집 노인복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-10-10,E,80.05,55,100,88.64,79.84,87.78,,,,
7923,2023년 정기평가,3-47110-00412,참사랑 재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-08-08,B,88.85,83.75,100,92.05,85.48,90.83,,,,
7924,2023년 정기평가,2-47110-00534,소명재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-10-10,E,61.57,37.5,55.56,81.82,52.42,82.33,,,,
7925,2023년 정기평가,3-47110-00172,노인들의 행복 장기요양센터,04.방문요양,개인,경상북도,포항시 북구,2023-02-28,C,78.8,76.25,77.78,86.36,78.23,73.89,,,,
7926,2023년 정기평가,3-47110-00072,한사랑노인복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-11,A,95.05,97.5,88.89,95.45,97.58,90.56,,,,
7927,2023년 정기평가,2-47110-00182,들꽃마을 노인복지센터,04.방문요양,법인,경상북도,포항시 북구,2023-05-09,A,97.05,92.5,100,100,97.58,96.11,,,,
7928,2023년 정기평가,3-47110-00054,동국 방문요양센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-11,A,97.05,95,100,96.59,97.58,97.5,,,,
7929,2023년 정기평가,2-47110-00494,가온누리 복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-10-17,B,82.05,71.25,77.78,88.64,80.65,90.56,,,,
7930,2023년 정기평가,3-47110-00360,천사재가노인복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-05-16,B,84.3,72.5,100,87.5,81.45,90.56,,,,
7931,2023년 정기평가,3-47110-00458,국민건강재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-10-17,D,66.57,57.5,77.78,63.64,62.1,82.33,,,,
7932,2023년 정기평가,3-47110-00234,드림노인복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-25,B,89.85,86.25,88.89,95.45,84.68,96.39,,,,
7933,2023년 정기평가,3-47110-00156,내고향어르신 재가복지센타,04.방문요양,개인,경상북도,포항시 북구,2023-05-16,B,82.6,90,77.78,92.05,66.94,92.22,,,,
7934,2023년 정기평가,2-47110-00540,다솜재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-09-19,E,58.4,41.65,66.67,56.82,54.03,82.33,,,,
7935,2023년 정기평가,3-47110-00142,흥해 노인요양센터,04.방문요양,개인,경상북도,포항시 북구,2023-03-21,B,83.8,86.25,88.89,92.05,74.19,85,,,,
7936,2023년 정기평가,3-47110-00230,(주)나눔과돌봄사회서비스지원센터,04.방문요양,법인,경상북도,포항시 북구,2023-05-16,A,94.3,100,100,86.36,100,85,,,,
7937,2023년 정기평가,3-47110-00232,부모애재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-25,A,95.6,91.25,100,96.59,95.16,97.78,,,,
7938,2023년 정기평가,3-47110-00390,양지재가복지센타,04.방문요양,개인,경상북도,포항시 북구,2023-04-18,A,92.05,91.25,88.89,95.45,92.74,89.17,,,,
7939,2023년 정기평가,3-47110-00046,죽장노인장기요양센타,04.방문요양,개인,경상북도,포항시 북구,2023-02-28,A,91.05,97.5,100,95.45,89.52,76.67,,,,
7940,2023년 정기평가,3-47110-00080,기계 효 장기요양센터,04.방문요양,개인,경상북도,포항시 북구,2023-03-21,A,96.55,93.75,100,95.45,97.58,97.5,,,,
7941,2023년 정기평가,3-47110-00482,영일재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-10-17,C,75.8,67.5,77.78,81.82,74.19,79.44,,,,
7942,2023년 정기평가,3-47110-00456,해피투게더노인재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-09-19,B,80.75,75,100,86.36,75.81,79.17,,,,
7943,2023년 정기평가,3-47110-00408,보듬재가요양복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-08-08,C,73.75,65,77.78,88.64,62.9,81.94,,,,
7944,2023년 정기평가,3-47110-00064,효도재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-18,A,96.3,95,100,96.59,97.58,93.33,,,,
7945,2023년 정기평가,3-47110-00430,서포항실버타운,04.방문요양,개인,경상북도,포항시 북구,2023-08-16,C,79.3,66.25,100,88.64,69.35,89.17,,,,
7946,2023년 정기평가,3-47110-00400,금빛포항 재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-11,C,76.3,70,88.89,84.09,64.52,87.78,,,,
7947,2023년 정기평가,3-47110-00336,정담은 복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-06-07,A,95.55,91.25,100,95.45,100,90.56,,,,
7948,2023년 정기평가,2-47110-00506,가족사랑재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-08-29,B,85.05,65,100,92.05,85.48,90.56,,,,
7949,2023년 정기평가,3-47110-00282,단비재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-04-11,C,76.05,58.75,77.78,81.82,83.87,73.89,,,,
7950,2023년 정기평가,2-47110-00520,미소요양복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-09-19,B,81.55,82.5,88.89,77.27,76.61,90.56,,,,
7951,2023년 정기평가,2-47110-00528,가장행복한어르신복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-08-16,B,81.8,71.25,88.89,90.91,82.26,78.06,,,,
7952,2023년 정기평가,2-47110-00512,깡총노인재가복지센터,04.방문요양,개인,경상북도,포항시 북구,2023-08-29,B,83.85,88.75,100,81.82,72.58,92.22,,,,
7953,2023년 정기평가,3-47110-00072,한사랑노인복지센터,05.방문목욕,개인,경상북도,포항시 북구,2023-04-11,A,96.55,100,100,95.45,97.79,87.86,,,,
7954,2023년 정기평가,2-47110-00494,가온누리 복지센터,05.방문목욕,개인,경상북도,포항시 북구,2023-10-17,B,82.55,86.25,90,75,83.82,80.71,,,,
7955,2023년 정기평가,3-47110-00230,(주)나눔과돌봄사회서비스지원센터,05.방문목욕,법인,경상북도,포항시 북구,2023-05-16,B,88.5,97.5,100,81.82,91.18,71.43,,,,
7956,2023년 정기평가,3-47110-00282,단비재가복지센터,05.방문목욕,개인,경상북도,포항시 북구,2023-04-11,D,66.55,63.75,60,77.27,57.35,80.71,,,,
7957,2023년 정기평가,2-47110-00512,깡총노인재가복지센터,05.방문목욕,개인,경상북도,포항시 북구,2023-08-29,C,79.77,61.1,100,87.5,79.41,80.71,,,,
7958,2023년 정기평가,3-47110-00486,남포항방문간호센터,06.방문간호,개인,경상북도,포항시 북구,2023-09-19,B,81.6,77.78,69.23,93.18,75.81,91.25,,,,
7959,2023년 정기평가,2-47110-00182,들꽃마을 노인복지센터,07.주야간보호,법인,경상북도,포항시 북구,2023-05-09,B,85.1,80.26,96.59,91.67,75,90.67,,,,
7960,2023년 정기평가,2-47110-00022,포항원광은혜의집,07.주야간보호,법인,경상북도,포항시 북구,2023-02-07,B,85.85,84.21,96.59,87.5,76.56,90.67,,,,
7961,2023년 정기평가,3-47110-00447,(주)나눔과 돌봄 주간보호,07.주야간보호,법인,경상북도,포항시 북구,2023-05-16,A,95.85,92.11,97.73,100,96.09,94,,,,
7962,2023년 정기평가,3-47110-00429,사랑방노인복지센터,07.주야간보호,개인,경상북도,포항시 북구,2023-04-25,A,90.3,88.16,80.68,91.67,96.09,93.67,,,,
7963,2023년 정기평가,2-47110-00527,효사랑노인주간보호센터,07.주야간보호,개인,경상북도,포항시 북구,2023-06-27,B,82.55,64.47,95.45,91.67,84.38,75.33,,,,
7964,2023년 정기평가,3-47110-00450,우현노인복지센터,07.주야간보호,개인,경상북도,포항시 북구,2023-09-05,E,76.55,61.84,93.18,70.83,68.75,92,,,,
7965,2023년 정기평가,3-47110-00430,서포항실버타운,07.주야간보호,개인,경상북도,포항시 북구,2023-08-16,C,75.8,71.05,88.64,79.17,62.5,88.67,,,,
7966,2023년 정기평가,3-47110-00336,정담은 복지센터,07.주야간보호,개인,경상북도,포항시 북구,2023-06-07,A,93.6,89.47,98.86,91.67,92.19,95.67,,,,
7967,2023년 정기평가,2-47110-00267,선재 주야간노인센터,07.주야간보호,법인,경상북도,포항시 북구,2023-07-19,A,95.3,98.68,97.73,100,91.41,92,,,,
7968,2023년 정기평가,2-47110-00538,양지데이케어센터,07.주야간보호,개인,경상북도,포항시 북구,2023-11-20,A,91.05,93.42,97.73,91.67,85.94,88.67,,,,
7969,2023년 정기평가,2-47110-00528,가장행복한어르신복지센터,07.주야간보호,개인,경상북도,포항시 북구,2023-08-16,A,91.3,89.47,97.73,100,85.94,88.67,,,,
7970,2023년 정기평가,3-47110-00386,(주)나눔과돌봄 의료기,09.복지용구,법인,경상북도,포항시 북구,2023-05-16,C,81,89.29,100,67.39,55,94.44,,,,
7971,2023년 정기평가,3-47110-00352,평생복지센터,09.복지용구,개인,경상북도,포항시 북구,2023-06-27,D,67.13,43.79,92,67.39,40,80.56,,,,
7972,2023년 정기평가,3-47110-00210,(주)신광메디칼 포항지점,09.복지용구,법인,경상북도,포항시 북구,2023-06-27,E,37.5,28.57,20,41.3,10,94.44,,,,
7973,2023년 정기평가,3-47110-00060,동산보청기의료기상사,09.복지용구,개인,경상북도,포항시 북구,2023-04-18,D,66.83,66.64,84,54.35,40,88.89,,,,
7974,2023년 정기평가,2-47110-00551,선한이웃 복지용구 센터,09.복지용구,개인,경상북도,포항시 북구,2023-04-18,C,81,82.14,100,76.09,50,94.44,,,,
7975,2023년 정기평가,3-47130-00180,경주재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,C,87.3,92.5,100,95.45,77.42,82.22,,,,
7976,2023년 정기평가,2-47130-00184,참사랑종합재가센터,04.방문요양,법인,경상북도,경주시,2023-06-29,A,91.6,95,88.89,92.05,89.52,92.22,,,,
7977,2023년 정기평가,3-47130-00238,금송재가방문요양센터,04.방문요양,개인,경상북도,경주시,2023-09-14,A,90.55,88.75,100,92.05,88.71,89.17,,,,
7978,2023년 정기평가,3-47130-00226,경주어르신종합돌봄센터 1호점,04.방문요양,개인,경상북도,경주시,2023-09-21,B,86.8,80,100,95.45,79.84,89.17,,,,
7979,2023년 정기평가,3-47130-00178,산내노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,C,72.8,57.5,77.78,78.41,75,76.67,,,,
7980,2023년 정기평가,3-47130-00136,가온노인복지센터,04.방문요양,개인,경상북도,경주시,2023-07-20,B,84.6,86.25,100,72.73,92.74,75.56,,,,
7981,2023년 정기평가,3-47130-00200,천일재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,A,94.55,91.25,88.89,100,97.58,89.17,,,,
7982,2023년 정기평가,3-47130-00202,월산사랑복지센터,04.방문요양,개인,경상북도,경주시,2023-04-20,A,93.05,93.75,100,100,87.9,89.17,,,,
7983,2023년 정기평가,3-47130-00034,소망노인복지센터,04.방문요양,개인,경상북도,경주시,2023-04-20,B,83.3,83.75,100,81.82,72.58,94.72,,,,
7984,2023년 정기평가,3-47130-00144,둥지재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-04-20,C,78.3,61.25,100,81.82,74.19,89.17,,,,
7985,2023년 정기평가,3-47130-00072,효방문요양센터,04.방문요양,개인,경상북도,경주시,2023-03-30,B,81.3,70,83.33,85.23,79.84,90.56,,,,
7986,2023년 정기평가,3-47130-00246,효산노인복지센터,04.방문요양,개인,경상북도,경주시,2023-09-21,B,89.55,91.25,88.89,90.91,90.32,85,,,,
7987,2023년 정기평가,3-47130-00230,경북재가복지센터,04.방문요양,법인,경상북도,경주시,2023-10-06,D,61.25,41.25,55.56,75,53.23,83.33,,,,
7988,2023년 정기평가,3-47130-00198,효사랑재가복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,B,88.55,91.25,100,77.27,87.1,96.11,,,,
7989,2023년 정기평가,3-47130-00196,은혜노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,E,59.3,42.5,55.56,64.77,53.23,83.61,,,,
7990,2023년 정기평가,3-47130-00074,살구꽃노인복지센터,04.방문요양,개인,경상북도,경주시,2023-07-20,B,83.05,77.5,88.89,77.27,84.68,90.56,,,,
7991,2023년 정기평가,3-47130-00242,효심노인복지센터,04.방문요양,개인,경상북도,경주시,2023-09-14,B,85.6,82.5,100,95.45,76.61,85.28,,,,
7992,2023년 정기평가,2-47130-00296,THE드림노인돌봄센터,04.방문요양,개인,경상북도,경주시,2023-09-14,A,92.8,90,88.89,95.45,95.16,90.56,,,,
7993,2023년 정기평가,3-47130-00094,미래노인복지센터,04.방문요양,개인,경상북도,경주시,2023-04-20,C,79.05,61.25,100,95.45,66.13,90.56,,,,
7994,2023년 정기평가,3-47130-00260,신라복지센터,04.방문요양,개인,경상북도,경주시,2023-09-07,D,66.8,70,77.78,63.64,53.23,85,,,,
7995,2023년 정기평가,3-47130-00162,다정재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,D,80.85,45,88.89,92.05,87.9,90.83,,,,
7996,2023년 정기평가,3-47130-00262,건천노인복지센터,04.방문요양,개인,경상북도,경주시,2023-10-06,C,76,66.25,88.89,81.82,66.94,88.89,,,,
7997,2023년 정기평가,3-47130-00062,서라벌노인방문센터,04.방문요양,개인,경상북도,경주시,2023-04-06,B,84.85,77.5,77.78,95.45,83.87,85.28,,,,
7998,2023년 정기평가,3-47130-00166,섬김노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,B,81.3,90,88.89,70.45,79.84,83.61,,,,
7999,2023년 정기평가,2-47130-00186,하나종합재가센터,04.방문요양,법인,경상북도,경주시,2023-06-19,A,98.6,100,100,100,97.58,96.39,,,,
8000,2023년 정기평가,3-47130-00212,시관재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,C,78.8,70,88.89,70.45,80.65,90.56,,,,
8001,2023년 정기평가,3-47130-00266,경주충효주간보호센터,04.방문요양,개인,경상북도,경주시,2023-09-21,C,81.6,50,100,95.45,80.65,92.22,,,,
8002,2023년 정기평가,3-47130-00122,유정재가노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,E,57.05,33.75,50,75,45.16,85,,,,
8003,2023년 정기평가,3-47130-00110,예사랑노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,A,92.3,95,100,95.45,87.1,90.56,,,,
8004,2023년 정기평가,3-47130-00160,늘푸른재가복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,C,75.3,76.25,100,75,70.16,71.11,,,,
8005,2023년 정기평가,3-47130-00192,제일노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-16,A,92.55,97.5,100,87.5,92.74,89.17,,,,
8006,2023년 정기평가,3-47130-00066,우리노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,B,90.55,86.25,100,92.05,90.32,89.17,,,,
8007,2023년 정기평가,3-47130-00058,다소미노인복지센터,04.방문요양,개인,경상북도,경주시,2023-04-06,A,91.3,93.75,100,90.91,91.94,83.61,,,,
8008,2023년 정기평가,2-47130-00272,늘봄재가복지,04.방문요양,개인,경상북도,경주시,2023-09-14,E,47.25,46.25,55.56,54.55,26.61,70.83,,,,
8009,2023년 정기평가,3-47130-00096,대성노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-30,D,87.55,65,100,95.45,92.74,87.78,,,,
8010,2023년 정기평가,3-47130-00194,스마일노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-16,A,93.05,86.25,100,95.45,95.16,90.56,,,,
8011,2023년 정기평가,2-47130-00146,나눔노인재가센터,04.방문요양,개인,경상북도,경주시,2023-03-14,B,80.6,82.5,94.44,78.41,74.19,85.28,,,,
8012,2023년 정기평가,3-47130-00234,유경어르신종합복지센터,04.방문요양,개인,경상북도,경주시,2023-08-31,A,95.55,100,100,95.45,97.58,85,,,,
8013,2023년 정기평가,3-47130-00256,가안어르신종합복지센터,04.방문요양,개인,경상북도,경주시,2023-08-31,C,76.35,50,77.78,82.95,80.65,89.44,,,,
8014,2023년 정기평가,2-47130-00280,둥지사랑 재가방문요양센터,04.방문요양,개인,경상북도,경주시,2023-09-21,B,83.3,62.5,100,86.36,85.48,90.56,,,,
8015,2023년 정기평가,3-47130-00204,감포노인복지센터,04.방문요양,개인,경상북도,경주시,2023-03-02,B,84.05,93.75,100,88.64,74.19,76.67,,,,
8016,2023년 정기평가,3-47130-00222,정담은재가복지센터,04.방문요양,개인,경상북도,경주시,2023-09-07,B,86,66.25,100,100,84.68,86.11,,,,
8017,2023년 정기평가,2-47130-00288,실버재가복지센터,04.방문요양,개인,경상북도,경주시,2023-08-31,E,73.2,38.75,88.89,81.82,75,90,,,,
8018,2023년 정기평가,2-47130-00284,도원방문요양센터,04.방문요양,개인,경상북도,경주시,2023-11-10,D,68.52,48.6,83.33,70.45,67.74,82.22,,,,
8019,2023년 정기평가,3-47130-00136,가온노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-07-20,B,89.35,83.75,100,81.82,91.18,97.14,,,,
8020,2023년 정기평가,3-47130-00200,천일재가노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-30,A,94.55,90,100,95.45,97.79,87.86,,,,
8021,2023년 정기평가,3-47130-00202,월산사랑복지센터,05.방문목욕,개인,경상북도,경주시,2023-04-20,A,95.55,95,100,95.45,97.79,87.86,,,,
8022,2023년 정기평가,3-47130-00144,둥지재가노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-04-20,C,75.3,55,90,81.82,76.47,80.71,,,,
8023,2023년 정기평가,3-47130-00072,효방문요양센터,05.방문목욕,개인,경상북도,경주시,2023-03-30,C,78.05,62.5,85,61.36,88.97,95,,,,
8024,2023년 정기평가,3-47130-00198,효사랑재가복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-02,B,88.05,73.75,100,86.36,91.18,95,,,,
8025,2023년 정기평가,3-47130-00242,효심노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-09-14,B,88.35,70,100,95.45,93.38,82.86,,,,
8026,2023년 정기평가,3-47130-00162,다정재가노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-02,C,85,57.5,97.5,92.05,92.65,85.71,,,,
8027,2023년 정기평가,3-47130-00166,섬김노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-02,B,83.8,92.5,90,70.45,80.88,95,,,,
8028,2023년 정기평가,3-47130-00122,유정재가노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-30,E,55.55,42.5,50,75,45.59,71.79,,,,
8029,2023년 정기평가,3-47130-00110,예사랑노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-30,B,87.8,95,100,81.82,83.82,87.86,,,,
8030,2023년 정기평가,3-47130-00066,우리노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-02,C,88.75,90,100,81.82,90.44,85.71,,,,
8031,2023년 정기평가,3-47130-00058,다소미노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-04-06,B,88.05,80,100,81.82,93.38,87.86,,,,
8032,2023년 정기평가,3-47130-00194,스마일노인복지센터,05.방문목욕,개인,경상북도,경주시,2023-03-16,A,93.55,90,97.5,95.45,95.59,87.86,,,,
8033,2023년 정기평가,2-47130-00146,나눔노인재가센터,05.방문목욕,개인,경상북도,경주시,2023-03-14,C,71.1,80,95,63.64,66.18,65,,,,
8034,2023년 정기평가,3-47130-00256,가안어르신종합복지센터,05.방문목욕,개인,경상북도,경주시,2023-08-31,C,78.6,50,90,88.64,83.82,82.86,,,,
8035,2023년 정기평가,2-47130-00184,참사랑종합재가센터,07.주야간보호,법인,경상북도,경주시,2023-06-29,C,79.35,92.11,79.55,79.17,66.41,90.67,,,,
8036,2023년 정기평가,3-47130-00132,예그린노인복지센터,07.주야간보호,개인,경상북도,경주시,2023-07-28,C,79.55,76.32,96.59,75,71.09,80.33,,,,
8037,2023년 정기평가,3-47130-00258,도연종합복지센터,07.주야간보호,개인,경상북도,경주시,2023-10-27,E,54.05,51.32,62.5,62.5,32.03,85.33,,,,
8038,2023년 정기평가,2-47130-00278,등대노인주야간보호센터,07.주야간보호,개인,경상북도,경주시,2023-11-21,B,84,82.89,89.77,83.33,81.25,83.33,,,,
8039,2023년 정기평가,2-47130-00276,안강노인주간복지센터,07.주야간보호,개인,경상북도,경주시,2023-11-23,B,87.85,68.42,94.32,95.83,90.63,90.67,,,,
8040,2023년 정기평가,2-47130-00186,하나종합재가센터,07.주야간보호,법인,경상북도,경주시,2023-06-19,A,93.1,94.74,97.73,91.67,89.06,94,,,,
8041,2023년 정기평가,2-47130-00270,자인효주간보호재가센터,07.주야간보호,개인,경상북도,경주시,2023-11-22,D,67.25,59.21,81.82,50,60.94,83.33,,,,
8042,2023년 정기평가,3-47130-00152,천사주야간보호센터,07.주야간보호,개인,경상북도,경주시,2023-03-30,B,84,85.53,90.91,100,72.66,83.33,,,,
8043,2023년 정기평가,2-47130-00286,밀알노인복지센터,07.주야간보호,개인,경상북도,경주시,2023-11-22,A,90.05,86.84,97.73,89.58,89.06,85.33,,,,
8044,2023년 정기평가,2-47130-00146,나눔노인재가센터,07.주야간보호,개인,경상북도,경주시,2023-03-14,B,88.6,93.42,96.59,91.67,78.13,90.67,,,,
8045,2023년 정기평가,3-47130-00234,유경어르신종합복지센터,07.주야간보호,개인,경상북도,경주시,2023-08-31,A,93.55,93.42,98.86,100,87.5,93.67,,,,
8046,2023년 정기평가,2-47130-00292,최장수주간노인복지센터,07.주야간보호,개인,경상북도,경주시,2023-11-10,B,86.8,84.21,89.77,91.67,85.16,85.33,,,,
8047,2023년 정기평가,3-47130-00248,아란재활주간보호센터,07.주야간보호,개인,경상북도,경주시,2023-11-24,A,95.3,92.11,100,100,92.97,93.67,,,,
8048,2023년 정기평가,2-47130-00294,황성어버이집,07.주야간보호,개인,경상북도,경주시,2023-11-10,B,85.8,78.95,97.73,100,75,88.67,,,,
8049,2023년 정기평가,3-47130-00138,제일의료기복지용구,09.복지용구,개인,경상북도,경주시,2023-03-30,C,75,75,92,63.04,50,94.44,,,,
8050,2023년 정기평가,3-47190-00308,윌 재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-02-09,D,67.05,45,55.56,71.59,69.35,87.78,,,,
8051,2023년 정기평가,3-47190-00390,섬김재가복지센터,04.방문요양,개인,경상북도,구미시,2023-09-14,A,93.35,80,100,96.59,95.16,97.78,,,,
8052,2023년 정기평가,2-47190-00422,교리애재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-10-06,D,62.4,62.5,77.78,64.77,54.84,64.72,,,,
8053,2023년 정기평가,3-47190-00312,구미행복한 재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-06-09,B,89.8,78.75,88.89,95.45,95.16,86.39,,,,
8054,2023년 정기평가,3-47190-00272,선산재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-03-09,D,76.5,47.5,88.89,81.82,82.26,86.11,,,,
8055,2023년 정기평가,2-47190-00444,미송재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-09-21,A,94.8,95,100,100,91.94,90.56,,,,
8056,2023년 정기평가,3-47190-00370,감로수재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-09-14,B,83.7,83.75,100,77.27,79.84,90,,,,
8057,2023년 정기평가,2-47190-00378,나이스노인복지센터,04.방문요양,개인,경상북도,구미시,2023-08-08,B,84.8,86.25,100,81.82,79.03,89.17,,,,
8058,2023년 정기평가,3-47190-00328,강동효나눔재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-02-09,A,91.55,78.75,100,100,95.16,85,,,,
8059,2023년 정기평가,2-47190-00368,은빛실버빌복지센터,04.방문요양,개인,경상북도,구미시,2023-08-25,A,91.3,77.5,100,90.91,95.16,96.11,,,,
8060,2023년 정기평가,3-47190-00376,다온노인복지센터,04.방문요양,개인,경상북도,구미시,2023-09-14,B,86.55,72.5,100,100,76.61,96.11,,,,
8061,2023년 정기평가,3-47190-00176,사랑나눔재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-03-09,E,48.8,30,55.56,50,45.16,71.11,,,,
8062,2023년 정기평가,2-47190-00418,행복마실재가복지센터,04.방문요양,개인,경상북도,구미시,2023-10-06,D,79.05,45.85,100,92.05,79.84,88.22,,,,
8063,2023년 정기평가,3-47190-00354,푸른재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-09-21,B,86.35,72.5,100,92.05,83.87,92.22,,,,
8064,2023년 정기평가,3-47190-00350,고운재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-08-10,C,79.8,72.5,100,90.91,70.16,80.83,,,,
8065,2023년 정기평가,2-47190-00434,다올재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-08-10,B,85.75,75,88.89,95.45,79.84,94.44,,,,
8066,2023년 정기평가,2-47190-00442,구미간호사의집재가노인복지시설,04.방문요양,개인,경상북도,구미시,2023-07-07,A,95.05,100,88.89,100,92.74,90.56,,,,
8067,2023년 정기평가,3-47190-00232,드림재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-07-18,C,82.3,90,94.44,87.5,65.32,90.56,,,,
8068,2023년 정기평가,3-47190-00280,좋은사람들 재가노인복지센터,04.방문요양,개인,경상북도,구미시,2023-07-18,C,81.8,75,94.44,92.05,70.97,89.17,,,,
